"Title","Year","Make","Model","Price","Sold","VIN","LicensePlate","Color","InventoryDate"
"2007 Mazda MX-5","2,007","Mazda","MX-5","13,014","1","3N1CN7APXFL906920","U9C 9A6","Black","10/20/2020"
"2009 Honda Accord","2,009","Honda","Accord","16,725","1","19UUA8F26CA123842","N4S 5V4","Gray","5/1/2018"
"2025 Ford Windstar","2,025","Ford","Windstar","17,198","1","WBAPH5G5XBN495140","X9J 5U5","Brown","10/21/2019"
"2018 Mitsubishi Eclipse","2,018","Mitsubishi","Eclipse","15,617","0","WA1LGBFE8CD648264","L3C 9O4","Silver","2/15/2019"
"2001 Lamborghini Gallardo","2,001","Lamborghini","Gallardo","14,831","1","2C3CCADG1DH454331","E6Z 6S8","White","11/8/2020"
"2003 Subaru Legacy","2,003","Subaru","Legacy","15,661","1","WBALW3C57CC236732","X2Z 1I5","White","11/2/2020"
"2021 Ford Explorer","2,021","Ford","Explorer","20,190","1","19UUA9F25BA826076","G1O 9A4","Brown","6/14/2018"
"2008 Lexus GS","2,008","Lexus","GS","14,988","1","WA1DGAFE7FD211858","T5N 6U1","White","6/10/2019"
"2008 Dodge Ram","2,008","Dodge","Ram","18,744","0","5TDBKRFH5FS363520","V3I 3A9","White","9/6/2020"
"2019 Volvo 960","2,019","Volvo","960","14,204","1","KNDPB3AC1E7229045","O3T 1K8","Silver","8/21/2018"
"2016 Ford F150","2,016","Ford","F150","23,166","1","SALVP2BG4FH540204","U8X 5F6","Gray","1/10/2020"
"2013 Ford F-Series","2,013","Ford","F-Series","12,112","0","3D7JB1EP3AG743863","Z0G 0V6","Black","4/30/2019"
"2015 Pontiac Sunbird","2,015","Pontiac","Sunbird","24,730","1","1GYS4LKJ6FR412670","V5F 8S7","Black","1/14/2019"
"2009 Toyota TundraMax","2,009","Toyota","TundraMax","10,081","0","WUADNAFG1AN486709","I3M 8S0","White","12/18/2018"
